Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Riccardo Calafiori,ITA,DF,Bologna,21,2002,27,23,2095,23.3,0,4,4,0,0,0,4,0,0.7,0.7,0.9,1.5,27,89,19,0.00,0.17,0.17,0.00,0.17,0.03,0.04,0.07,0.03,0.07
Luca Caldirola,ITA,DF,Monza,33,1991,27,23,2083,23.1,1,1,2,1,0,0,7,1,0.5,0.5,0.6,1.1,10,53,9,0.04,0.04,0.09,0.04,0.09,0.02,0.03,0.05,0.02,0.05
Hakan Çalhanoğlu,TUR,MF,Inter,30,1994,30,30,2390,26.6,13,3,16,3,10,10,5,0,10.1,2.2,4.7,6.8,44,175,31,0.49,0.11,0.60,0.11,0.23,0.38,0.18,0.55,0.08,0.26
Francesco Camarda,ITA,FW,Milan,16,2008,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicolò Cambiaghi,ITA,FW,Empoli,23,2000,33,28,2423,26.9,1,1,2,1,0,0,3,0,3.7,3.7,2.6,6.4,119,63,190,0.04,0.04,0.07,0.04,0.07,0.14,0.10,0.24,0.14,0.24
Andrea Cambiaso,ITA,DF,Juventus,24,2000,31,25,2153,23.9,2,3,5,2,0,0,9,0,2.1,2.1,3.3,5.4,77,53,150,0.08,0.13,0.21,0.08,0.21,0.09,0.14,0.23,0.09,0.23
Matteo Cancellieri,ITA,FW,Empoli,22,2002,32,15,1508,16.8,3,2,5,3,0,0,7,0,3.3,3.3,2.2,5.5,44,22,115,0.18,0.12,0.30,0.18,0.30,0.20,0.13,0.33,0.20,0.33
Antonio Candreva,ITA,MF,Salernitana,37,1987,32,31,2645,29.4,6,6,12,5,1,1,5,0,4.7,3.9,5.0,8.9,64,143,177,0.20,0.20,0.41,0.17,0.37,0.16,0.17,0.33,0.13,0.30
Luigi Canotto,ITA,FW,Frosinone,29,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gianluca Caprari,ITA,MF,Monza,30,1993,4,4,255,2.8,0,0,0,0,0,0,0,0,0.3,0.3,0.7,0.9,11,15,12,0.00,0.00,0.00,0.00,0.00,0.10,0.23,0.33,0.10,0.33
Elia Caprile,ITA,GK,Empoli,22,2001,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francesco Caputo,ITA,FW,Empoli,36,1987,17,14,1142,12.7,3,0,3,2,1,1,0,0,3.0,2.2,0.7,2.9,6,18,57,0.24,0.00,0.24,0.16,0.16,0.23,0.05,0.29,0.17,0.23
Andrea Carboni,ITA,DF,Monza,23,2001,21,16,1487,16.5,1,0,1,1,0,0,1,0,1.2,1.2,0.5,1.7,13,46,22,0.06,0.00,0.06,0.06,0.06,0.07,0.03,0.10,0.07,0.10
Valentin Carboni,ARG,MF,Monza,19,2005,27,8,965,10.7,2,3,5,2,0,0,1,0,1.8,1.8,1.6,3.4,40,41,60,0.19,0.28,0.47,0.19,0.47,0.17,0.15,0.32,0.17,0.32
Marco Carnesecchi,ITA,GK,Atalanta,23,2000,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicolò Casale,ITA,DF,Lazio,26,1998,18,15,1410,15.7,0,0,0,0,0,0,3,0,0.9,0.9,0.0,0.9,20,47,4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.05,0.06
Giuseppe Caso,ITA,FW,Frosinone,25,1998,14,2,417,4.6,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,15,20,37,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10
Valentín Castellanos,ARG,FW,Lazio,25,1998,31,14,1470,16.3,4,3,7,4,0,0,2,0,6.9,6.9,1.6,8.5,14,42,120,0.24,0.18,0.43,0.24,0.43,0.42,0.10,0.52,0.42,0.52
Samu Castillejo,ESP,FW,Sassuolo,29,1995,17,6,536,6.0,0,0,0,0,0,0,2,0,0.3,0.3,1.0,1.2,27,26,45,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.21,0.04,0.21
Santiago Castro,ARG,FW,Bologna,19,2004,4,0,63,0.7,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,1,1,4,0.00,0.00,0.00,0.00,0.00,1.03,0.00,1.03,1.03,1.03
Gaetano Castrovilli,ITA,MF,Fiorentina,27,1997,2,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,6,2,8,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.43,0.00,0.43
Danilo Cataldi,ITA,MF,Lazio,29,1994,25,15,1319,14.7,1,0,1,1,0,0,7,0,0.4,0.4,0.8,1.1,9,68,7,0.07,0.00,0.07,0.07,0.07,0.02,0.05,0.08,0.02,0.08
