Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Daniel Parejo,ESP,MF,Villarreal,35,1989,30,27,2417,26.9,3,5,8,0,3,3,4,0,2.9,0.5,2.9,3.4,11,196,26,0.11,0.19,0.30,0.00,0.19,0.11,0.11,0.21,0.02,0.13
Pascu,ESP,FW,Villarreal,21,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gabriel Paulista,BRA,DF,Atlético Madrid,33,1990,4,4,360,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,7,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
Gabriel Paulista,BRA,DF,Valencia,33,1990,18,16,1398,15.5,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.6,2,33,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
Nicolás Paz,ARG,MF,Real Madrid,19,2004,4,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,6,2,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31
Alfonso Pedraza,ESP,DF,Villarreal,28,1996,19,14,1116,12.4,1,3,4,1,0,0,4,1,0.6,0.6,3.6,4.2,56,31,97,0.08,0.24,0.32,0.08,0.32,0.05,0.29,0.34,0.05,0.34
Pedri,ESP,MF,Barcelona,21,2002,21,14,1275,14.2,2,2,4,2,0,0,3,0,2.1,2.1,3.9,6.0,38,105,61,0.14,0.14,0.28,0.14,0.28,0.15,0.27,0.43,0.15,0.43
Adrià Pedrosa,ESP,DF,Sevilla,26,1998,28,14,1615,17.9,1,4,5,1,0,0,1,0,0.5,0.5,2.3,2.9,39,59,104,0.06,0.22,0.28,0.06,0.28,0.03,0.13,0.16,0.03,0.16
Facundo Pellistri,URU,MF,Granada,22,2001,12,11,993,11.0,2,1,3,2,0,0,0,0,1.7,1.7,0.8,2.6,26,19,73,0.18,0.09,0.27,0.18,0.27,0.16,0.08,0.24,0.16,0.24
Iñaki Peña,ESP,GK,Barcelona,25,1999,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
