Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
John Egan,IRL,DF,Sheffield Utd,31,1992,6,6,482,5.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0,5,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Hjalmar Ekdal,SWE,DF,Burnley,25,1998,7,5,391,4.3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,3,10,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Anthony Elanga,SWE,FW,Nott'ham Forest,22,2002,33,23,2261,25.1,5,8,13,5,0,0,1,0,6.5,6.5,6.1,12.5,90,47,183,0.20,0.32,0.52,0.20,0.52,0.26,0.24,0.50,0.26,0.50
Harvey Elliott,ENG,MF,Liverpool,21,2003,31,8,1116,12.4,2,3,5,2,0,0,1,0,2.1,2.1,2.7,4.8,36,98,104,0.16,0.24,0.40,0.16,0.40,0.17,0.21,0.38,0.17,0.38
Mohamed Elneny,EGY,MF,Arsenal,31,1992,3,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26
Emerson,BRA,DF,Tottenham,25,1999,19,9,1001,11.1,1,0,1,1,0,0,3,0,0.2,0.2,0.4,0.6,20,46,32,0.09,0.00,0.09,0.09,0.09,0.01,0.04,0.05,0.01,0.05
Julio Enciso,PAR,MF,Brighton,20,2004,8,3,261,2.9,0,2,2,0,0,0,1,0,0.8,0.8,1.0,1.9,13,8,18,0.00,0.69,0.69,0.00,0.69,0.29,0.35,0.64,0.29,0.64
Wataru Endo,JPN,MF,Liverpool,31,1993,26,17,1493,16.6,1,0,1,1,0,0,9,0,0.5,0.5,1.7,2.2,9,83,18,0.06,0.00,0.06,0.06,0.06,0.03,0.10,0.13,0.03,0.13
Christian Eriksen,DEN,MF,Manchester Utd,32,1992,18,11,1030,11.4,1,1,2,1,0,0,1,0,0.9,0.9,2.0,2.9,19,61,21,0.09,0.09,0.17,0.09,0.17,0.08,0.17,0.25,0.08,0.25
Maxime Estève,FRA,DF,Burnley,21,2002,13,12,1085,12.1,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,12,32,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Pervis Estupiñán,ECU,DF,Brighton,26,1998,19,15,1243,13.8,2,3,5,2,0,0,4,0,1.0,1.0,3.5,4.4,47,83,88,0.14,0.22,0.36,0.14,0.36,0.07,0.25,0.32,0.07,0.32
Jonny Evans,NIR,DF,Manchester Utd,36,1988,19,12,1106,12.3,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.2,5,32,1,0.00,0.08,0.08,0.00,0.08,0.00,0.09,0.10,0.00,0.10
Eberechi Eze,ENG,MF,Crystal Palace,25,1998,24,21,1797,20.0,8,3,11,7,1,1,3,0,7.8,7.0,4.3,11.3,62,86,119,0.40,0.15,0.55,0.35,0.50,0.39,0.21,0.61,0.35,0.57
Łukasz Fabiański,POL,GK,West Ham,39,1985,10,7,721,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Romain Faivre,FRA,FW,Bournemouth,25,1998,4,0,39,0.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,4,4,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36,0.36
Ansu Fati,ESP,MF,Brighton,21,2002,17,3,505,5.6,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,47,0.36,0.00,0.36,0.36,0.36,0.60,0.14,0.75,0.60,0.75
Felipe,BRA,DF,Nott'ham Forest,34,1989,7,4,375,4.2,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,1,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Evan Ferguson,IRL,FW,Brighton,19,2004,27,15,1367,15.2,6,0,6,6,0,0,1,0,4.6,4.6,0.5,5.1,13,15,62,0.40,0.00,0.40,0.40,0.40,0.30,0.04,0.34,0.30,0.34
Bruno Fernandes,POR,MF,Manchester Utd,29,1994,33,33,2970,33.0,10,7,17,6,4,5,8,0,9.9,6.0,11.3,17.3,79,281,175,0.30,0.21,0.52,0.18,0.39,0.30,0.34,0.64,0.18,0.52
