Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Khalil Fayad,FRA,FW,Montpellier,19,2004,20,9,888,9.9,2,0,2,2,0,0,2,0,1.5,1.5,0.5,2.0,15,25,45,0.20,0.00,0.20,0.20,0.20,0.15,0.05,0.20,0.15,0.20
Ichem Ferrah,FRA,FW,Lille,18,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jordan Ferri,FRA,MF,Montpellier,32,1992,28,22,1975,21.9,1,1,2,1,0,0,5,0,0.5,0.5,1.9,2.4,37,171,66,0.05,0.05,0.09,0.05,0.09,0.02,0.09,0.11,0.02,0.11
Malick Fofana,BEL,FW,Lyon,19,2005,14,3,423,4.7,2,0,2,2,0,0,0,0,0.8,0.8,0.4,1.3,19,8,45,0.43,0.00,0.43,0.43,0.43,0.17,0.09,0.27,0.17,0.27
Youssouf Fofana,FRA,MF,Monaco,25,1999,29,29,2504,27.8,3,4,7,3,0,0,3,0,4.6,4.6,2.8,7.4,49,224,79,0.11,0.14,0.25,0.11,0.25,0.17,0.10,0.27,0.17,0.27
Thomas Foket,BEL,DF,Reims,29,1994,25,22,1789,19.9,0,1,1,0,0,0,9,1,0.2,0.2,0.9,1.1,24,65,84,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.06,0.01,0.06
Tiago Fonseca Morais,POR,FW,Lille,20,2003,3,0,46,0.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,3,2,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.70,0.70,0.70
Przemysław Frankowski,POL,DF,Lens,29,1995,27,22,2010,22.3,3,2,5,2,1,2,4,0,2.9,1.3,3.6,4.9,52,104,188,0.13,0.09,0.22,0.09,0.18,0.13,0.16,0.29,0.06,0.22
Jean Frederic N'Guessan,CIV,MF,Metz,21,2003,6,1,110,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Angelo Fulgini,FRA,MF,Lens,27,1996,26,13,1159,12.9,0,2,2,0,0,0,1,0,2.6,2.6,2.2,4.7,33,66,98,0.00,0.16,0.16,0.00,0.16,0.20,0.17,0.37,0.20,0.37
Kévin Gameiro,FRA,FW,Strasbourg,36,1987,25,15,1286,14.3,4,1,5,2,2,2,0,0,3.4,1.9,2.6,4.5,26,41,73,0.28,0.07,0.35,0.14,0.21,0.24,0.18,0.42,0.13,0.31
Ignatius Ganago,CMR,FW,Nantes,25,1999,6,2,184,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,7,5,26,0.00,0.00,0.00,0.00,0.00,0.21,0.27,0.49,0.21,0.49
Ulisses Garcia,SUI,DF,Marseille,28,1996,11,8,747,8.3,0,0,0,0,0,0,0,0,0.5,0.5,0.6,1.1,18,44,50,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14
Johan Gastien,FRA,MF,Clermont Foot,36,1988,25,25,2040,22.7,0,0,0,0,0,0,7,0,0.2,0.2,2.2,2.4,19,155,21,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.11,0.01,0.11
Yann Gboho,FRA,MF,Toulouse,23,2001,13,10,927,10.3,2,2,4,2,0,0,1,0,1.0,1.0,1.5,2.5,45,32,77,0.19,0.19,0.39,0.19,0.39,0.10,0.14,0.24,0.10,0.24
Gelabert,ESP,MF,Toulouse,23,2000,16,10,754,8.4,1,2,3,1,0,0,1,0,0.8,0.8,1.3,2.1,14,33,57,0.12,0.24,0.36,0.12,0.36,0.09,0.16,0.25,0.09,0.25
Denis Genreau,AUS,FW,Toulouse,24,1999,8,5,430,4.8,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,13,26,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.13,0.07,0.13
Samuel Gigot,FRA,DF,Marseille,30,1993,20,19,1656,18.4,2,0,2,2,0,0,7,1,1.9,1.9,0.8,2.7,10,51,8,0.11,0.00,0.11,0.11,0.11,0.10,0.04,0.15,0.10,0.15
Aleksandr Golovin,RUS,MF,Monaco,27,1996,25,25,2147,23.9,6,6,12,6,0,0,8,1,3.4,3.4,4.7,8.0,50,172,157,0.25,0.25,0.50,0.25,0.50,0.14,0.20,0.34,0.14,0.34
