Player,Nation,Pos_x,Squad_x,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,CrdR/90,CrdY/90,Pos_y,Squad_y,Tkl,TklW,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Performance_rating
Matteo Ruggeri,ITA,DF,Atalanta,21.0,2002.0,30,26,2229,24.8,0.0,0.16,0.0,0.12,DF,Atalanta,1.05,0.52,0.56,1.09,51.9,0.52,1.61,0.12,1.49,0.89,1.94,1.65,0.0,7.89
Stefano Sabelli,ITA,DF,Genoa,31.0,1993.0,30,28,2322,25.8,0.0,0.04,0.0,0.19,DF,Genoa,1.82,0.85,0.58,1.71,34.1,1.12,1.01,0.19,0.81,0.89,2.71,1.24,0.0,7.63
Giorgio Scalvini,ITA,DF,Atalanta,20.0,2003.0,28,27,2220,24.7,0.0,0.12,0.0,0.12,DF,Atalanta,1.98,1.26,0.73,1.46,50.0,0.73,1.7,0.65,1.05,2.06,4.05,2.59,0.0,15.38
Adrien Tameze,CMR,DF,Torino,30.0,1994.0,26,22,1895,21.1,0.0,0.09,0.05,0.28,DF,Torino,1.42,0.71,0.66,1.52,43.8,0.85,1.04,0.43,0.62,2.09,3.51,1.18,0.05,10.5
Jackson Tchatchoua,BEL,DF,Hellas Verona,22.0,2001.0,23,17,1517,16.9,0.0,0.12,0.0,0.12,DF,Hellas Verona,2.07,1.36,1.3,2.6,50.0,1.3,0.95,0.41,0.53,1.3,3.37,2.6,0.12,13.18
Jeremy Toljan,GER,DF,Sassuolo,29.0,1994.0,22,22,1892,21.0,0.0,0.24,0.0,0.05,DF,Sassuolo,0.62,0.48,0.43,0.71,60.0,0.29,0.76,0.19,0.57,0.71,1.33,2.14,0.05,8.42
Fikayo Tomori,ENG,DF,Milan,26.0,1997.0,22,21,1809,20.1,0.2,0.0,0.05,0.35,DF,Milan,1.84,1.04,0.9,1.39,64.3,0.5,1.49,1.04,0.45,1.14,2.99,3.23,0.05,13.6
Johan Vásquez,MEX,DF,Genoa,25.0,1998.0,33,28,2490,27.7,0.04,0.04,0.0,0.18,DF,Genoa,1.73,1.16,1.16,1.7,68.1,0.54,1.73,0.9,0.83,1.44,3.18,3.54,0.0,15.06
Sebastian Walukiewicz,POL,DF,Empoli,24.0,2000.0,25,23,1978,22.0,0.0,0.0,0.0,0.27,DF,Empoli,1.73,1.23,1.27,1.82,70.0,0.55,2.09,1.36,0.73,0.68,2.41,5.45,0.0,16.36
Gabriele Zappa,ITA,DF,Cagliari,24.0,1999.0,34,21,2246,25.0,0.04,0.08,0.0,0.08,DF,Cagliari,1.88,1.08,1.04,1.44,72.2,0.4,1.12,0.2,0.92,0.76,2.64,2.68,0.08,11.12
Davide Zappacosta,ITA,DF,Atalanta,31.0,1992.0,27,20,1609,17.9,0.11,0.06,0.0,0.28,DF,Atalanta,1.34,0.95,0.78,1.56,50.0,0.78,1.45,0.17,1.28,0.28,1.62,1.06,0.0,6.37
