Player,Nation,Pos_x,Squad_x,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90,Pos_y,Squad_y,Tkl,TklW,Tkl.1,Att,Tkl%,Lost,Int,Performance_rating
Mario Lemina,GAB,MF,Wolves,30.0,1993.0,32,31,2743,30.5,0.13,0.03,0.16,0.13,0.16,0.15,0.05,0.2,0.15,0.2,0.03,0.36,1.54,1.05,2.36,MF,Wolves,2.66,1.74,0.62,1.31,47.5,0.69,1.28,8.16
Jefferson Lerma,COL,MF,Crystal Palace,29.0,1994.0,27,27,2385,26.5,0.04,0.04,0.08,0.04,0.08,0.1,0.08,0.18,0.1,0.18,0.0,0.3,1.89,0.53,3.96,MF,Crystal Palace,1.55,0.91,0.68,1.47,46.2,0.79,1.36,9.53
Sean Longstaff,ENG,MF,Newcastle Utd,26.0,1997.0,31,26,2438,27.1,0.15,0.07,0.22,0.15,0.22,0.17,0.07,0.24,0.17,0.24,0.0,0.26,3.87,0.63,4.61,MF,Newcastle Utd,1.88,1.07,0.81,2.18,37.3,1.37,0.55,11.81
Douglas Luiz,BRA,MF,Aston Villa,25.0,1998.0,32,32,2734,30.4,0.3,0.16,0.46,0.16,0.33,0.22,0.16,0.38,0.12,0.28,0.0,0.36,1.58,1.94,5.36,MF,Aston Villa,1.81,1.18,0.79,1.61,49.0,0.82,0.66,18.16
Alexis Mac Allister,ARG,MF,Liverpool,25.0,1998.0,30,28,2366,26.3,0.15,0.19,0.34,0.11,0.3,0.11,0.12,0.23,0.08,0.2,0.04,0.27,1.52,1.48,7.45,MF,Liverpool,3.42,1.9,2.05,4.41,46.6,2.36,1.22,20.27
Kobbie Mainoo,ENG,MF,Manchester Utd,19.0,2005.0,20,20,1588,17.6,0.11,0.06,0.17,0.11,0.17,0.02,0.03,0.05,0.02,0.05,0.0,0.17,1.36,0.8,2.9,MF,Manchester Utd,2.1,1.19,0.97,1.99,48.6,1.02,1.08,8.76
Orel Mangala,BEL,MF,Nott'ham Forest,26.0,1998.0,20,19,1563,17.4,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,0.0,0.34,0.8,0.75,2.59,MF,Nott'ham Forest,1.55,0.75,0.8,1.67,48.3,0.86,1.49,7.39
James Mcatee,ENG,MF,Sheffield Utd,21.0,2002.0,29,20,1797,20.0,0.15,0.15,0.3,0.1,0.25,0.15,0.15,0.3,0.11,0.26,0.0,0.1,5.4,2.75,2.55,MF,Sheffield Utd,1.6,1.05,0.65,1.65,39.4,1.0,0.55,14.45
John McGinn,SCO,MF,Aston Villa,29.0,1994.0,32,32,2733,30.4,0.2,0.13,0.33,0.2,0.33,0.16,0.14,0.31,0.16,0.31,0.03,0.23,2.63,1.78,5.72,MF,Aston Villa,1.81,1.09,1.02,2.4,42.5,1.38,0.69,17.85
Dwight McNeil,ENG,MF,Everton,24.0,1999.0,32,30,2644,29.4,0.1,0.2,0.31,0.1,0.31,0.12,0.28,0.4,0.12,0.4,0.0,0.07,4.76,2.59,3.78,MF,Everton,1.43,0.85,0.78,1.77,44.2,0.99,0.65,16.36
Scott McTominay,SCO,MF,Manchester Utd,27.0,1996.0,29,15,1631,18.1,0.39,0.06,0.44,0.39,0.44,0.29,0.04,0.33,0.29,0.33,0.0,0.11,2.15,1.16,3.15,MF,Manchester Utd,2.43,1.22,1.1,1.71,64.5,0.61,0.66,11.8
Christian Nørgaard,DEN,MF,Brentford,30.0,1994.0,28,27,2272,25.2,0.08,0.04,0.12,0.08,0.12,0.14,0.07,0.2,0.14,0.2,0.0,0.32,1.55,0.48,5.83,MF,Brentford,3.02,1.9,1.15,3.17,36.3,2.02,1.94,13.3
Wilson Odobert,FRA,MF,Burnley,19.0,2004.0,26,22,1828,20.3,0.15,0.1,0.25,0.15,0.25,0.12,0.15,0.27,0.12,0.27,0.0,0.15,5.12,4.19,2.46,MF,Burnley,0.74,0.59,0.3,1.08,27.3,0.79,0.25,18.39
Chiedozie Ogbene,IRL,MF,Luton Town,27.0,1997.0,28,19,1902,21.1,0.19,0.05,0.24,0.19,0.24,0.19,0.15,0.34,0.19,0.34,0.0,0.05,6.73,5.78,2.23,MF,Luton Town,0.81,0.47,0.57,1.04,54.5,0.47,0.24,22.85
