Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Marco Carnesecchi,ITA,GK,Atalanta,23.0,2000,23.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.13
Nicolò Casale,ITA,DF,Lazio,26.0,1998,15.7,0.89,0.57,0.76,0.13,0.00,0.38,0.96,40.0,0.57,1.15,0.96,0.19,0.70,1.59,3.44,0.00
Giuseppe Caso,ITA,FW,Frosinone,25.0,1998,4.6,0.87,0.65,0.43,0.00,0.43,0.43,0.65,66.7,0.22,0.00,0.00,0.00,0.00,0.87,0.00,0.00
Valentín Castellanos,ARG,FW,Lazio,25.0,1998,16.3,1.23,0.61,0.00,0.67,0.55,0.31,1.04,29.4,0.74,1.23,0.12,1.10,0.12,1.35,0.67,0.00
Samu Castillejo,ESP,FW,Sassuolo,29.0,1995,6.0,2.00,1.67,0.83,0.83,0.33,1.17,3.17,36.8,2.00,2.67,0.17,2.50,0.17,2.17,0.50,0.00
Santiago Castro,ARG,FW,Bologna,19.0,2004,0.7,1.43,0.00,0.00,1.43,0.00,0.00,0.00,,0.00,1.43,0.00,1.43,0.00,1.43,0.00,0.00
Gaetano Castrovilli,ITA,MF,Fiorentina,27.0,1997,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,1.11,0.00,1.11,1.11,1.11,1.11,0.00
Danilo Cataldi,ITA,MF,Lazio,29.0,1994,14.7,1.56,0.82,0.41,1.09,0.07,0.48,1.16,41.2,0.68,1.02,0.48,0.54,1.16,2.72,1.22,0.07
Emil Ceide,NOR,FW,Sassuolo,22.0,2001,2.0,1.00,1.00,0.50,0.50,0.00,0.50,0.50,100.0,0.00,3.00,0.50,2.50,0.00,1.00,0.00,0.00
Zeki Çelik,TUR,DF,Roma,27.0,1997,5.5,3.64,2.55,1.64,1.64,0.36,2.18,3.82,57.1,1.64,1.27,0.55,0.73,1.09,4.73,3.09,0.00
Fabien Centonze,FRA,DF,Hellas Verona,28.0,1996,5.5,1.45,0.73,1.09,0.36,0.00,0.73,1.45,50.0,0.73,1.45,0.18,1.27,1.82,3.27,2.73,0.00
Michele Cerofolini,ITA,GK,Frosinone,25.0,1999,3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29
Alberto Cerri,ITA,FW,Empoli,28.0,1996,5.7,0.53,0.53,0.18,0.18,0.18,0.35,0.70,50.0,0.35,0.53,0.18,0.35,0.53,1.05,1.23,0.00
Leonardo Cerri,ITA,DF,Juventus,21.0,2003,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Charlys,BRA,MF,Hellas Verona,20.0,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Walid Cheddira,MAR,FW,Frosinone,26.0,1998,19.9,0.50,0.30,0.05,0.30,0.15,0.15,0.25,60.0,0.10,0.20,0.05,0.15,0.20,0.70,0.45,0.00
Federico Chiesa,ITA,FW,Juventus,26.0,1997,21.1,0.71,0.33,0.19,0.19,0.33,0.14,0.52,27.3,0.38,0.76,0.05,0.71,0.28,1.00,0.19,0.00
Oliver Christensen,DEN,GK,Fiorentina,25.0,1999,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00
Samuel Chukwueze,NGA,FW,Milan,24.0,1999,9.9,1.72,0.71,1.01,0.51,0.20,0.91,1.72,52.9,0.81,0.30,0.10,0.20,0.61,2.32,0.30,0.00
Giorgio Cittadini,ITA,DF,Monza,22.0,2002,0.2,5.00,5.00,5.00,0.00,0.00,5.00,5.00,100.0,0.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00
Giorgio Cittadini,ITA,DF,Genoa,22.0,2002,0.3,3.33,3.33,3.33,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,6.67,10.0,10.0,0.00
Patrick Ciurria,ITA,DF,Monza,29.0,1995,17.8,1.69,1.01,0.73,0.73,0.22,0.73,1.18,61.9,0.45,1.12,0.28,0.84,0.51,2.19,1.57,0.00
