Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arne Engels,BEL,MF,Augsburg,20.0,2003,14.7,2.18,1.16,1.02,0.88,0.27,0.82,1.90,42.9,1.09,1.50,0.07,1.43,0.88,3.06,1.36,0.00
Ohis Felix Uduokhai,GER,DF,Augsburg,26.0,1997,29.5,1.08,0.61,0.51,0.41,0.17,0.41,0.71,57.1,0.31,1.25,0.95,0.31,1.42,2.51,5.56,0.03
Edimilson Fernandes,SUI,DF,Mainz 05,28.0,1996,13.3,1.88,1.20,1.13,0.68,0.08,1.20,1.80,66.7,0.60,0.98,0.38,0.60,1.65,3.53,3.61,0.00
Nacho Ferri,ESP,FW,Eint Frankfurt,19.0,2004,0.7,4.29,4.29,1.43,2.86,0.00,2.86,2.86,100.0,0.00,0.00,0.00,0.00,0.00,4.29,2.86,0.00
Max Finkgräfe,GER,DF,Köln,20.0,2004,17.5,3.37,1.89,2.17,1.20,0.00,2.00,3.77,53.0,1.77,1.89,0.51,1.37,1.14,4.51,2.11,0.00
Kilian Fischer,GER,DF,Wolfsburg,23.0,2000,2.2,2.27,1.36,1.36,0.91,0.00,0.45,1.36,33.3,0.91,1.82,0.45,1.36,0.45,2.73,4.09,0.00
Jonas Föhrenbach,GER,DF,Heidenheim,28.0,1996,28.3,1.48,0.78,0.81,0.46,0.21,0.64,1.20,52.9,0.57,1.06,0.60,0.46,0.95,2.44,1.98,0.00
Emil Forsberg,SWE,MF,RB Leipzig,32.0,1991,5.2,1.35,0.58,0.38,0.96,0.00,0.96,2.31,41.7,1.35,1.35,0.00,1.35,0.00,1.35,0.96,0.00
Philipp Förster,GER,MF,Bochum,29.0,1995,4.3,2.09,1.16,0.70,0.93,0.47,0.47,1.40,33.3,0.93,0.70,0.00,0.70,1.63,3.72,0.70,0.00
Bartol Franjić,CRO,MF,Darmstadt 98,24.0,2000,13.7,1.09,0.88,0.29,0.73,0.07,0.51,2.04,25.0,1.53,0.88,0.29,0.58,2.19,3.28,2.12,0.15
Marco Friedl,AUT,DF,Werder Bremen,26.0,1998,21.4,2.06,1.31,1.45,0.61,0.00,1.50,2.06,72.7,0.56,2.01,1.31,0.70,1.26,3.32,5.61,0.00
Marvin Friedrich,GER,DF,M'Gladbach,28.0,1995,14.6,1.44,1.03,1.10,0.27,0.07,0.75,1.23,61.1,0.48,1.71,1.23,0.48,0.75,2.19,5.14,0.00
Jeremie Frimpong,NED,DF,Leverkusen,23.0,2000,23.9,1.05,0.71,0.46,0.29,0.29,0.33,0.84,40.0,0.50,1.09,0.00,1.09,0.29,1.34,0.67,0.00
Chris Führich,GER,FW,Stuttgart,26.0,1998,26.3,1.06,0.68,0.23,0.53,0.30,0.61,1.41,43.2,0.80,1.06,0.00,1.06,0.27,1.33,0.27,0.00
